Serious,Age,DebtRatio,MonthlyIncome,NumberOfLoans,NumberOfRealEstateLoans,NumberOfDependents
0,58,0.228999349,9213,7,1,0
0,55,0.540702656,3500,8,1,2
0,33,0.128132981,23100,8,1,0
1,58,0.632371083,4052,13,2,0
0,55,0.215576215,5700,9,1,0
0,44,0.324267573,10000,10,2,0
0,57,0.89117395,3500,12,1,1
0,65,0,615,3,0,0
0,56,0.049700447,11850,11,0,2
0,25,0.001723544,2900,1,0,0
0,89,5,0,4,0,0
1,32,0.44187375,3500,5,1,2
0,48,0.399050079,12000,9,2,0
0,38,0.181233062,2951,4,0,0
0,58,526,NA,5,1,1
0,59,0.531464095,7881,8,1,0
0,32,0.132716821,4000,1,0,1
0,50,0.372513562,1105,13,0,0
0,26,0.067061144,1520,7,0,0
0,55,0.128716003,6323,8,0,1
0,82,13,NA,4,0,0
0,62,1203,NA,9,1,0
0,46,1189,NA,6,1,0
0,66,2410,NA,7,2,0
0,46,0.26775232,5280,10,2,2
0,59,0,2236,4,0,0
0,29,0.057388522,5000,4,0,0
0,39,0.342354782,10862,14,2,0
0,36,0.508163945,3000,3,1,0
0,71,0.170705631,5611,4,1,0
0,82,0.001287001,7769,6,0,0
0,26,0.121568627,1274,7,0,0
1,58,3265,NA,20,0,0
0,68,1591,NA,8,1,NA
0,42,2336,0,11,2,3
0,58,0.177274242,3000,2,0,0
1,26,0.129805014,1794,1,0,0
0,33,523,NA,3,0,0
0,51,0.053521541,6800,5,0,0
0,60,0.193786454,8400,9,1,0
0,29,0.515939338,3230,8,1,0
0,79,0.225861336,2350,5,0,0
0,27,0.274952015,4167,21,1,0
1,50,0.68127587,4106,8,1,0
0,31,0.356018715,2350,5,0,0
0,45,0.735816454,10416,11,4,1
0,26,0.166517857,4479,10,0,0
0,63,111,NA,2,0,0
0,40,11,NA,0,0,0
0,57,0.085321957,7500,10,1,0
0,54,0.720069983,4000,11,0,0
0,33,0.332280979,3800,4,0,2
0,54,0.528550512,3414,9,1,1
0,24,0,3833,1,0,0
0,41,0.38708711,13350,8,4,1
0,47,228,NA,6,0,0
0,76,736,NA,15,1,0
0,87,2,NA,2,0,NA
0,34,0.644091034,3646,11,1,0
0,46,0.107878122,3642,11,0,4
0,82,0.002606106,8057,7,0,0
0,48,0.165213329,6421,0,0,2
0,83,0.217065334,2800,9,0,0
0,86,68,NA,6,0,1
0,56,0.552930754,6772,6,1,1
0,90,0,NA,3,0,NA
0,73,415,NA,11,0,0
0,33,1.002499107,2800,8,2,0
0,85,13,NA,5,0,NA
0,45,0.475322703,3950,19,1,1
0,56,0.142385321,5449,5,0,0
0,31,0.432783608,2000,9,1,0
0,30,0.264841895,8000,9,2,1
0,32,969,NA,6,0,0
0,40,0.344679838,4200,6,2,0
0,79,0.01332778,2400,10,0,0
0,37,0.335036659,4500,5,1,1
0,63,779,NA,6,1,0
0,28,852,NA,3,0,NA
0,69,0,5455,6,0,0
0,47,0.216280839,9200,12,3,2
0,71,0.01283697,2336,3,0,1
0,56,1387,NA,11,1,0
0,40,0.121319069,9066,6,0,4
0,64,2231,0,5,1,0
0,59,0.264911696,3000,8,0,1
0,28,0.286158631,4500,6,1,0
0,45,11311,0,6,2,0
0,31,0.332527053,7854,9,1,0
0,58,0.963084409,9453,13,3,1
1,44,6046,NA,9,3,0
0,37,0.079193665,8333,9,0,0
0,68,0.090386385,4347,5,0,0
1,47,64,NA,2,0,0
0,57,0.447142596,5476,14,1,0
0,51,1874,NA,6,1,0
0,50,0.380976732,3910,20,0,3
0,74,4,NA,3,0,0
0,73,0.122830656,18553,6,1,1
1,81,0.53801306,4287,11,2,0
0,58,0.411084131,7000,10,2,1
0,87,19,NA,1,0,0
0,55,0.196142489,15916,14,3,0
0,50,0.103425118,13400,7,0,2
0,34,0.32224953,6916,5,1,0
0,67,3174,NA,15,3,0
0,63,4627,NA,15,1,0
0,62,0.121835693,19000,8,1,0
0,59,0.226433961,11000,10,1,0
0,32,4121,NA,10,1,0
0,64,0.427787663,6743,10,1,0
0,72,2367,NA,11,1,0
0,64,0.074734316,5833,8,1,1
0,30,0.589815683,3200,4,1,0
0,79,0.00829363,5666,5,0,1
0,81,0.207164676,3600,10,1,0
0,41,0.718171926,3675,10,3,2
0,58,0.373801016,10633,28,4,0
0,55,3063,NA,8,1,0
0,45,0.008456176,8750,3,0,3
0,44,0.430297475,12000,13,2,3
0,49,0.330947228,6006,10,1,1
0,74,1202,NA,4,1,NA
0,26,0.137820513,1871,1,0,0
0,59,0.301074556,15075,13,2,0
0,39,0.375647341,7916,10,2,2
0,48,1421,NA,3,1,0
0,49,2788,NA,6,2,0
0,47,0.022504141,24750,7,0,2
0,28,0.679853795,4650,14,1,0
0,42,0.373740482,13000,11,2,2
0,53,0.31035201,4800,10,1,0
0,68,0.311916978,8575,10,1,0
0,31,0.283571758,4333,20,0,0
0,34,0.319171724,2800,3,0,1
0,56,0.236573549,9700,12,1,1
0,30,1.298161471,1250,4,1,0
0,52,0.274253271,4050,9,1,0
0,54,0.528381219,2853,7,1,0
0,39,0.551779288,2500,7,2,0
0,57,0.42893401,4333,9,1,1
0,60,81,NA,2,0,0
0,45,1.112942122,4975,13,4,1
0,33,0.032483758,2000,1,0,2
0,64,2004,NA,10,2,0
0,85,790,NA,6,0,0
0,34,0,5400,0,0,0
0,37,0.333851794,9000,11,2,0
0,63,0.262694922,2500,5,0,0
0,35,1673,NA,10,1,1
0,32,0.802308265,2685,5,1,1
0,73,0.504887091,8900,17,1,1
0,39,0.459166466,4150,10,2,0
0,38,2628,NA,6,1,0
0,40,0.006959443,4166,1,0,0
0,42,0.524458002,9178,9,1,3
0,36,0.194963754,2620,3,0,0
0,64,3930,NA,13,2,0
0,51,0.226213976,10131,4,2,3
0,25,0.294852574,2000,5,0,0
0,36,777,NA,3,1,NA
0,34,0.474904943,5259,11,2,2
1,73,274,NA,2,0,NA
0,55,0.27018019,9600,11,2,0
1,39,0.984408835,2308,15,1,1
0,83,0,10500,4,0,0
0,63,0.515793683,2500,12,0,0
0,52,7806,NA,21,2,2
0,59,0.271467415,11400,9,2,0
0,24,0.069040925,3200,11,0,0
0,44,0.137224283,5122,4,0,0
0,36,0.339874121,2700,6,0,0
0,74,1184,NA,8,1,0
0,45,0.224577542,10000,8,0,2
0,41,2809,NA,5,2,0
0,63,0.454098361,5489,20,4,0
0,41,0.064417178,2933,7,0,2
0,45,0.560214893,6700,8,2,2
0,54,0.343546258,25000,9,3,1
0,76,0.372787227,2880,8,1,0
0,65,0.266873313,10000,13,1,0
0,38,2615,NA,6,1,NA
0,47,0.370691923,3800,6,0,1
0,68,0.008222093,10337,10,1,1
0,34,1.220066377,3916,7,2,0
0,46,0.421201915,5640,16,1,2
1,55,0.881655429,4300,17,2,1
0,34,0.75145816,8400,18,4,0
0,29,0.046662778,12000,15,0,0
0,35,0,1500,3,0,0
0,43,0.421048246,12000,14,3,2
0,37,2.694610778,500,11,2,2
0,74,0.020736901,5400,5,0,0
0,55,0.514162132,7166,7,2,1
0,72,692,NA,7,0,0
0,80,1589,NA,8,1,0
0,50,1.317473011,2500,9,2,1
0,77,24,NA,5,0,NA
0,73,0.047400612,4577,3,0,0
0,52,0.257757365,8926,11,1,2
0,48,0.146276596,12407,5,1,0
0,44,0.148162041,2665,5,0,1
0,50,0,6400,2,0,0
0,44,178,NA,9,0,0
0,70,1934,NA,11,2,0
0,53,817,NA,13,0,3
0,70,0,3500,6,0,0
0,36,2082,NA,13,2,0
0,63,724,NA,3,0,0
0,50,0.318734063,13333,11,3,1
1,48,0.605098725,4000,10,2,1
0,62,2446,NA,4,1,0
0,53,0.315187201,9000,6,1,0
0,43,0.198811453,1850,2,0,3
0,58,0.498692509,6500,19,4,1
0,67,486,NA,4,1,0
0,59,0.156959213,6300,22,0,0
0,55,0.167543201,5323,1,0,2
0,82,162,NA,2,0,0
0,47,0.587361677,6867,22,1,4
0,43,0.246784845,8630,8,0,1
0,58,1.511162946,3000,24,2,0
0,41,0.346902339,5600,4,1,0
0,63,0.621679828,9750,24,2,2
0,50,0.432119554,4750,17,1,0
0,32,85,NA,7,0,0
0,37,106.2727273,21,6,2,4
0,36,0.061445262,2310,2,0,2
0,45,0.546448087,8966,11,2,1
0,26,346,NA,8,0,0
0,80,0.180763847,5000,11,0,0
1,40,0.18141723,3400,5,0,1
0,35,0.611050027,3637,5,1,2
0,52,0.313439924,6316,16,2,1
1,38,3558,NA,19,3,2
0,78,0.691183331,6430,6,2,0
0,57,0.283411686,13400,10,1,0
0,57,0.355043926,3300,17,1,0
0,32,710,NA,6,0,0
0,43,0.252274773,10000,18,3,3
0,60,10.17127624,3000,4,1,0
0,54,0.135553584,12400,11,1,0
0,59,0.43955635,13433,18,2,2
